date,opponent,result,nz_points,opponent_points,referee
Sat 28th Oct 2023 9:00pm,	South Africa,	loss,	11,	12,	Wayne Barnes
Sat 14th Oct 2023 9:00pm,	Ireland,	win,	28,	24,	Wayne Barnes
Thu 5th Oct 2023 9:00pm,	Uruguay,	win,	73,	0,	Wayne Barnes
Sat 29th Jul 2023 7:45pm,	Australia,	win,	38,	7,	Wayne Barnes
Sat 5th Nov 2022 3:15pm,	Wales,	win,	55,	23,	Wayne Barnes
Sat 16th Jul 2022 7:05pm,	Ireland,	loss,	22,	32,	Wayne Barnes
Sat 20th Nov 2021 9:00pm,	France,	loss,	25,	40,	Wayne Barnes
Fri 1st Nov 2019 6:00pm,	Wales,	win,	40,	17,	Wayne Barnes
Sat 17th Nov 2018 7:00pm,	Ireland,	loss,	9,	16,	Wayne Barnes
Sat 25th Aug 2018 7:35pm,	Australia,	win,	40,	12,	Wayne Barnes
Sat 25th Nov 2017 5:15pm,	Wales,	win,	33,	18,	Wayne Barnes
Sat 21st Oct 2017 8:00pm,	Australia,	loss,	18,	23,	Wayne Barnes
Sat 19th Aug 2017 8:00pm,	Australia,	win,	54,	34,	Wayne Barnes
Sat 26th Nov 2016 9:00pm,	France,	win,	24,	19,	Wayne Barnes
Sat 11th Jun 2016 7:35pm,	Wales,	win,	39,	21,	Wayne Barnes
Sun 20th Sep 2015 4:45pm,	Argentina,	win,	26,	16,	Wayne Barnes
Sat 8th Aug 2015 8:05pm,  Australia,	loss,	19,	27,	Wayne Barnes
Sat 22nd Nov 2014 5:30pm,	Wales,	win,	34,	16,	Wayne Barnes
Sat 4th Oct 2014 5:05pm,	South Africa,	loss,	25,	27,	Wayne Barnes
Sat 8th Jun 2013 7:35pm,	France,	win,	23,	13,	Wayne Barnes
Sat 27th Aug 2011 8:05pm,	Australia,	loss,	20,	25,	Wayne Barnes
Sat 12th Jun 2010 7:35pm,	Ireland,	win,	66,	28,	Wayne Barnes
Sat 8th Nov 2008 5:15pm,	Scotland,	win,	32,	6,	Wayne Barnes
Sat 6th Oct 2007 9:00pm,	France,	loss,	18,	20,	Wayne Barnes
Sat 8th Sep 2007 1:45pm,	Italy,	win,	76,	14,	Wayne Barnes

