date,	opponent,	result,	nz_points,	opponent_points
Sun 24th Nov 2024  9:10pm,	Italy,	win,	29,	11
Sun 17th Nov 2024  9:10pm,	France,	loss,	29,	30
Fri 8th Nov 2024  8:10pm,	Ireland,	win,	23,	13
Sun 3rd Nov 2024  3:00pm,	England,	win,	24,	22
Fri 25th Oct 2024  2:50pm,	Japan,	win,	64,	19
Sat 28th Sep 2024  7:05pm,	Australia,	win,	33,	13
Sat 21st Sep 2024  3:45pm,	Australia,	win,	31,	28
Sat 7th Sep 2024  5:00pm,	South Africa,	loss,	12,	18
Sat 31st Aug 2024  5:00pm,	South Africa,	loss,	27,	31
Sat 17th Aug 2024  7:05pm,	Argentina,	win,	42,	10
Sat 10th Aug 2024  7:05pm,	Argentina,	loss,	30,	38
Sat 20th Jul 2024  12:30pm,	Fiji,	win,	47,	5
Sat 13th Jul 2024  7:05pm,	England,	win,	24,	17
Sat 6th Jul 2024  7:05pm,	England,	win,	16,	15
Sat 28th Oct 2023  9:00pm,	South Africa,	loss,	11,	12
Fri 20th Oct 2023  9:00pm,	Argentina,	win,	44,	6
Sat 14th Oct 2023  9:00pm,	Ireland,	win,	28,	24
Thu 5th Oct 2023  9:00pm,	Uruguay,	win,	73,	0
Fri 29th Sep 2023  9:00pm,	Italy,	win,	96,	17
Fri 15th Sep 2023  9:00pm,	Namibia,	win,	71,	3
Fri 8th Sep 2023  9:15pm,	France,	loss,	13,	27
Fri 25th Aug 2023  7:30pm,	South Africa,	loss,	7,	35
Sat 5th Aug 2023  2:35pm,	Australia,	win,	23,	20
Sat 29th Jul 2023  7:45pm,	Australia,	win,	38,	7
Sat 15th Jul 2023  7:05pm,	South Africa,	win,	35,	20
Sat 8th Jul 2023  4:10pm,	Argentina,	win,	41,	12
Sat 19th Nov 2022  5:30pm,	England,	loss,	25,	25
Sun 13th Nov 2022  2:15pm,	Scotland,	win,	31,	23
Sat 5th Nov 2022  3:15pm,	Wales,	win,	55,	23
Sat 29th Oct 2022  2:50pm,	Japan,	win,	38,	31
Sat 24th Sep 2022  7:05pm,	Australia,	win,	40,	14
Thu 15th Sep 2022  7:45pm,	Australia,	win,	39,	37
Sat 3rd Sep 2022  7:05pm,	Argentina,	win,	53,	3
Sat 27th Aug 2022  7:45pm,	Argentina,	loss,	18,	25
Sat 13th Aug 2022  5:05pm,	South Africa,	win,	35,	23
Sat 6th Aug 2022  5:05pm,	South Africa,	loss,	10,	26
Sat 16th Jul 2022  7:05pm,	Ireland,	loss,	22,	32
Sat 9th Jul 2022  7:05pm,	Ireland,	loss,	12,	23
Sat 2nd Jul 2022  7:05pm,	Ireland,	win,	42,	19
Sat 20th Nov 2021  9:00pm,	France,	loss,	25,	40
Sat 13th Nov 2021  3:15pm,	Ireland,	loss,	20,	29
Sat 6th Nov 2021  2:00pm,	Italy,	win,	47,	9
Sat 30th Oct 2021  5:30pm,	Wales,	win,	54,	16
Sat 23rd Oct 2021  3:30pm,	United States,	win,	104,	14
Sat 2nd Oct 2021  8:05pm,	South Africa,	loss,	29,	31
Sat 25th Sep 2021  5:05pm,	South Africa,	win,	19,	17
Sat 18th Sep 2021  8:05pm,	Argentina,	win,	36,	13
Sun 12th Sep 2021  5:05pm,	Argentina,	win,	39,	0
Sun 5th Sep 2021  2:00pm,	Australia,	win,	38,	21
Sat 14th Aug 2021  7:05pm,	Australia,	win,	57,	22
Sat 7th Aug 2021  7:05pm,	Australia,	win,	33,	25
Sat 17th Jul 2021  7:05pm,	Fiji,	win,	60,	13
Sun 11th Jul 2021  7:05pm,	Fiji,	win,	57,	23
Sat 3rd Jul 2021  7:05pm,	Tonga,	win,	102,	0
Sat 28th Nov 2020  7:45pm,	Argentina,	win,	38,	0
Sat 14th Nov 2020  5:10pm,	Argentina,	loss,	15,	25
Sat 7th Nov 2020  7:45pm,	Australia,	loss,	22,	24
Sat 31st Oct 2020  7:45pm,	Australia,	win,	43,	5
Sun 18th Oct 2020  2:00pm,	Australia,	win,	27,	7
Sun 11th Oct 2020  2:00pm,	Australia,	loss,	16,	16
Fri 1st Nov 2019  6:00pm,	Wales,	win,	40,	17
Sat 26th Oct 2019  5:00pm,	England,	loss,	7,	19
Sat 19th Oct 2019  7:15pm,	Ireland,	win,	46,	14
Sun 6th Oct 2019  1:45pm,	Namibia,	win,	71,	9
Wed 2nd Oct 2019  7:15pm,	Canada,	win,	63,	0
Sat 21st Sep 2019  6:45pm,	South Africa,	win,	23,	13
Sat 7th Sep 2019  7:45pm,	Tonga,	win,	92,	7
Sat 17th Aug 2019  7:45pm,	Australia,	win,	36,	0
Sat 10th Aug 2019  7:45pm,	Australia,	loss,	26,	47
Sat 27th Jul 2019  7:35pm,	South Africa,	loss,	16,	16
Sat 20th Jul 2019  3:05pm,	Argentina,	win,	20,	16
Sat 24th Nov 2018  3:00pm,	Italy,	win,	66,	3
Sat 17th Nov 2018  7:00pm,	Ireland,	loss,	9,	16
Sat 10th Nov 2018  3:00pm,	England,	win,	16,	15
Sat 3rd Nov 2018  2:45pm,	Japan,	win,	69,	31
Sat 27th Oct 2018  3:00pm,	Australia,	win,	37,	20
Sat 6th Oct 2018  5:05pm,	South Africa,	win,	32,	30
Sat 29th Sep 2018  7:40pm,	Argentina,	win,	35,	17
Sat 15th Sep 2018  7:35pm,	South Africa,	loss,	34,	36
Sat 8th Sep 2018  7:35pm,	Argentina,	win,	46,	24
Sat 25th Aug 2018  7:35pm,	Australia,	win,	40,	12
Sat 18th Aug 2018  7:45pm,	Australia,	win,	38,	13
Sat 23rd Jun 2018  7:35pm,	France,	win,	49,	14
Sat 16th Jun 2018  7:35pm,	France,	win,	26,	13
Sat 9th Jun 2018  7:35pm,	France,	win,	52,	11
Sat 25th Nov 2017  5:15pm,	Wales,	win,	33,	18
Sat 18th Nov 2017  6:15pm,	Scotland,	win,	22,	17
Tue 14th Nov 2017  7:00pm,	France XV,	win,	28,	23
Sat 11th Nov 2017  7:00pm,	France,	win,	38,	18
Sun 5th Nov 2017  7:00pm,	Barbarians,	win,	31,	22
Sat 21st Oct 2017  8:00pm,	Australia,	loss,	18,	23
Sat 7th Oct 2017  5:05pm,	South Africa,	win,	25,	24
Sat 30th Sep 2017  7:30pm,	Argentina,	win,	36,	10
Sat 16th Sep 2017  7:35pm,	South Africa,	win,	57,	0
Sat 9th Sep 2017  7:35pm,	Argentina,	win,	39,	22
Sat 26th Aug 2017  7:35pm,	Australia,	win,	35,	29
Sat 19th Aug 2017  8:00pm,	Australia,	win,	54,	34
Sat 8th Jul 2017  7:35pm,	Lions,	loss,	15,	15
